caseId,docketId,caseIssuesId,voteId,dateDecision,decisionType,usCite,sctCite,ledCite,lexisCite,term,naturalCourt,chief,docket,caseName,dateArgument,dateRearg,petitioner,petitionerState,respondent,respondentState,jurisdiction,adminAction,adminActionState,threeJudgeFdc,caseOrigin,caseOriginState,caseSource,caseSourceState,lcDisagreement,certReason,lcDisposition,lcDispositionDirection,declarationUncon,caseDisposition,caseDispositionUnusual,partyWinning,precedentAlteration,voteUnclear,issue,issueArea,decisionDirection,decisionDirectionDissent,authorityDecision1,authorityDecision2,lawType,lawSupp,lawMinor,majOpinWriter,majOpinAssigner,splitVote,majVotes,minVotes
1946-001,1946-001-01,1946-001-01-01,1946-001-01-01-01,11/18/1946,opinion of the court (orally argued),329 U.S. 1,67 S. Ct. 6,91 L. Ed. 3,1946 U.S. LEXIS 1724,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,24,"HALLIBURTON OIL WELL CEMENTING CO. v. WALKER et al., DOING BUSINESS AS DEPTHOGRAPH CO.",1/9/1946,10/23/1946,"oil company, or natural gas producer",,"inventor, patent assigner, trademark owner or holder",,rehearing or restored to calendar for reargument,,,no mention that a 3-judge ct heard case,California Southern U.S. District Court,6,"U.S. Court of Appeals, Ninth Circuit",,no mention that dissent occurred,to resolve question presented,affirmed,conservative,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,precedent altered,vote clearly specified,patents and copyrights: patent,Economic Activity,liberal,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,35 U.S.C. € 33,"HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,8,1
1946-002,1946-002-01,1946-002-01-01,1946-002-01-01-01,11/18/1946,opinion of the court (orally argued),329 U.S. 14,67 S. Ct. 13,91 L. Ed. 12,1946 U.S. LEXIS 1725,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,12,CLEVELAND v. UNITED STATES,10/10/1945,10/17/1946,"person accused, indicted, or suspected of crime",,United States,,cert,,,no mention that a 3-judge ct heard case,Utah U.S. District Court,52,"U.S. Court of Appeals, Tenth Circuit",,no mention that dissent occurred,putative conflict,affirmed,conservative,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,statutory construction of criminal laws: Mann Act and related statutes,Criminal Procedure,conservative,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,18 U.S.C. € 398,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,6,3
1946-003,1946-003-01,1946-003-01-01,1946-003-01-01-01,11/18/1946,opinion of the court (orally argued),329 U.S. 29,67 S. Ct. 1,91 L. Ed. 22,1946 U.S. LEXIS 3037,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,21,CHAMPLIN REFINING CO. v. UNITED STATES ET AL.,11/8/1945,10/18/1946,pipe line company,,United States,,appeal,Interstate Commerce Commission,,3-judge district ct heard case,Oklahoma Western U.S. District Court,42,Oklahoma Western U.S. District Court,Oklahoma,no mention that dissent occurred,case did not arise on cert or cert not granted,,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,federal and some few state regulation of transportation regulation: pipeline (cf. federal public utilities regulation: gas pipeline),Economic Activity,liberal,dissent in opposite direction,judicial review (national level),,Constitutional Amendment,Fifth Amendment (due process),,"RHJackson 	Jackson, Robert ( 07/11/1941 - 10/09/1954 )","HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )",first vote on issue/legal provision,5,4
1946-004,1946-004-01,1946-004-01-01,1946-004-01-01-01,11/25/1946,judgment of the Court (orally argued),329 U.S. 40,67 S. Ct. 167,91 L. Ed. 29,1946 U.S. LEXIS 1696,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,26,UNITED STATES v. ALCEA BAND OF TILLAMOOKS ET AL.,1/31/1946,10/25/1946,United States,,"Indian, including Indian tribe or nation",,cert,Indian Claims Commission,,no mention that a 3-judge ct heard case,"U.S. Court of Claims, Court of Federal Claims",,"U.S. Court of Claims, Court of Federal Claims",,no mention that dissent occurred,to resolve important or significant question,,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,Indians (other than pertains to state jurisdiction over),Civil Rights,liberal,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,49 Stat. 801,"FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,5,3
1946-005,1946-005-01,1946-005-01-01,1946-005-01-01-01,11/25/1946,opinion of the court (orally argued),329 U.S. 64,67 S. Ct. 154,91 L. Ed. 44,1946 U.S. LEXIS 2997,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,50,"UNITED STATES v. HOWARD P. FOLEY CO., INC.",10/25/1946,,United States,,government contractor,,cert,,,no mention that a 3-judge ct heard case,"U.S. Court of Claims, Court of Federal Claims",,"U.S. Court of Claims, Court of Federal Claims",,no mention that dissent occurred,federal court conflict,,liberal,no declaration of unconstitutionality,reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,"liability, governmental: tort or contract actions by or against government or governmental officials other than defense of criminal actions brought under a civil rights action.",Economic Activity,liberal,dissent in opposite direction,federal common law,,,,,"HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,6,3
1946-006,1946-006-01,1946-006-01-01,1946-006-01-01-01,11/25/1946,opinion of the court (orally argued),329 U.S. 69,67 S. Ct. 156,91 L. Ed. 80,1946 U.S. LEXIS 3005,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,46,RICHFIELD OIL CORP. v. STATE BOARD OF EQUALIZATION,10/24/1946,,"oil company, or natural gas producer",,"state commission, board, committee, or authority",California,appeal,State Agency,California,no mention that a 3-judge ct heard case,State Trial Court,6,State Supreme Court,California,dissent in ct whose dec the sct reviewed,case did not arise on cert or cert not granted,reversed,liberal,"state or territorial law, reg, or const provision unconstitutional",reversed,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,state or local government tax,Economic Activity,conservative,dissent in opposite direction,judicial review (state level),,Constitution,"Article I, Section 10, Paragraph 2 (export-import clause)",,"WODouglas 	Douglas, William ( 04/17/1939 - 11/12/1975 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,7,1
1946-007,1946-007-01,1946-007-01-01,1946-007-01-01-01,11/25/1946,opinion of the court (orally argued),329 U.S. 90,67 S. Ct. 133,91 L. Ed. 103,1946 U.S. LEXIS 3053,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,4,AMERICAN POWER & LIGHT CO. v. SECURITIES & EXCHANGE COMMISSION,11/16/1945,10/14/1946,"electric or hydroelectric power utility, power cooperative, or gas and electric company",,Securities and Exchange Commission,,cert,Securities and Exchange Commission,,no mention that a 3-judge ct heard case,"U.S. Court of Appeals, First Circuit",,"U.S. Court of Appeals, First Circuit",,no mention that dissent occurred,to resolve important or significant question,affirmed,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,federal or state regulation of securities,Economic Activity,liberal,dissent in opposite direction,judicial review (national level),,Infrequently litigated statutes,Infrequently litigated statutes,15 U.S.C. € 79,"FMurphy 	Murphy, Francis ( 02/05/1940 - 07/19/1949 )","HFStone 	Stone, Harlan ( 03/02/1925 - 04/22/1946 )",first vote on issue/legal provision,6,0
1946-008,1946-008-01,1946-008-01-01,1946-008-01-01-01,12/9/1946,opinion of the court (orally argued),329 U.S. 129,67 S. Ct. 231,91 L. Ed. 128,1946 U.S. LEXIS 2995,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,11,ALMA MOTOR CO. v. TIMKEN-DETROIT AXLE CO. ET AL.,4/25/1946,10/24/1946,auto manufacturer,,auto manufacturer,,cert,Department or Secretary of Defense (and Department or Secretary of War),,no mention that a 3-judge ct heard case,Delaware U.S. District Court,9,"U.S. Court of Appeals, Third Circuit",,no mention that dissent occurred,no reason given,vacated and remanded,liberal,no declaration of unconstitutionality,vacated and remanded,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,no merits: miscellaneous,Judicial Power,conservative,dissent in opposite direction,statutory construction,,Infrequently litigated statutes,Infrequently litigated statutes,35 U.S.C. € 89,"FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
1946-009,1946-009-01,1946-009-01-01,1946-009-01-01-01,12/9/1946,opinion of the court (orally argued),329 U.S. 143,67 S. Ct. 245,91 L. Ed. 136,1946 U.S. LEXIS 3047,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,25,UNEMPLOYMENT COMPENSATION COMMISSION OF ALASKA ET AL. v. ARAGON ET AL.,2/27/1946,11/13/1946,"state commission, board, committee, or authority",Alaska,unemployed person or unemployment compensation applicant or claimant,,cert,State Agency,Alaska,no mention that a 3-judge ct heard case,Alaska U.S. District Court,2,"U.S. Court of Appeals, Ninth Circuit",,dissent in ct whose dec the sct reviewed,to resolve important or significant question,affirmed,liberal,no declaration of unconstitutionality,affirmed and reversed (or vacated) in part and remanded,no unusual disposition specified,petitioning party received a favorable disposition,no determinable alteration of precedent,vote clearly specified,labor-management disputes: working conditions,Unions,conservative,dissent in opposite direction,statutory construction,"interpretation of administrative regulation or rule, or executive order",Other,Territory Statute,,"FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,9,0
1946-010,1946-010-01,1946-010-01-01,1946-010-01-01-01,12/9/1946,opinion of the court (orally argued),329 U.S. 156,67 S. Ct. 237,91 L. Ed. 162,1946 U.S. LEXIS 3048,1946,"Vinson 1 	June 24, 1946 - August 23, 1949",Vinson,42,VANSTON BONDHOLDERS PROTECTIVE COMMITTEE v. GREEN ET AL.,10/22/1946,,"creditor, including institution appearing as such; e.g., a finance company",,"bankrupt person or business, or business in reorganization",,cert,,,no mention that a 3-judge ct heard case,Kentucky Eastern U.S. District Court,21,"U.S. Court of Appeals, Sixth Circuit",,no mention that dissent occurred,to resolve important or significant question,reversed,liberal,no declaration of unconstitutionality,affirmed (includes modified),no unusual disposition specified,no favorable disposition for petitioning party apparent,no determinable alteration of precedent,vote clearly specified,bankruptcy (except in the context of priority of federal fiscal claims),Economic Activity,liberal,dissent in opposite direction,statutory construction,,Federal Statute,"Bankruptcy Code, Bankruptcy Act or Rules, or Bankruptcy Reform Act of 1978",,"HLBlack 	Black, Hugo ( 08/19/1937 - 09/17/1971 )","FMVinson 	Vinson, Fred ( 06/24/1946 - 09/08/1953 )",first vote on issue/legal provision,8,0
